51,HEART,a-ji,hwada,bìrìwà,?,kə̀ɗú,k-dɛ̀bɛ̀,bə̀-gɛ́tɛ̀,nɪ-so,ə́r-húr,ɛ-roba,e-koko,jaɲe,nə́-sɔ́bɔ́,kaʧi karɪʃja,ri-roŋ,hì-tsùmù,e-riba,ri-rup,kə̀-ɗú
51,HEART,1,4,5,?,2,2,3,6,7,3,2,1,6,8,3,6,3,3,2
52,HEAVY,ge-tek,kupas,*denden,?,?,m̀ní,ìʒə̃́:tọ̀,*u-zzebi,ə́s-nə́,?,?,?,**umanu,-ʤɪp (?),lɛktɛk,é-nʤènʤí,?,u-zip,ə̀mìkì
52,HEAVY,1,2,3,?,?,4,5,6,7,?,?,?,4,5,"{1,}",5,?,7,4
53,HOE: CULTIVATE,u-ʃaru,kap,vara,?,kùshé'è,"kə́rmə̀, gɔ̀vɔ́","hwã́, húdọ̀",kaba ~ kab (?),"gwów, duk, kéwér",?,?,?,**woroh,kaba ~ kap,kap (?),gùlə̀,?,kava,cìmbà
53,HOE: CULTIVATE,1,2,3,?,1,4,5,2,4,?,?,?,6,1,2,8,?,1,7
54,"KILL, TO",u-moku,?,?,?,gə̀lə́,?,?,*ma-pa,?,?,-ʃilan-,?,**weh,?,?,?,?,kuke,?
54,"KILL, TO",1,?,?,?,2,?,?,3,?,?,4,?,5,?,?,?,?,6,?
55,"LEG, FOOT",ku-bunu,tak,ù-gbùnà,utu-buna (pl.?),kùnè,ù-ná,ù-və̀ǹà,ka-bona,ù-ná,o-buna,e-bwonə,tu-gbuna,ó-kaza,ka-bunu? ~ ka-buna,u-won,ú-kánà,u-bunu,ka-vina,kù-nè
55,"LEG, FOOT",1,2,1,1,1,3,4,1,3,1,5,1,6,1,7,1,1,8,9
56,LEOPARD (‘PANTHER’),*ko-pe,a-kwo,*bi-kwi,jari,kànámà,gwì:mì,ìgõ̂,ku-gbe,ú-gə́,bi-kpe,u-gəbi,unjarɛ,o-daro,ku-bi,o-kwɔ,hì-kɛ̀sàndɔ̀ì-,u-gana,ku-dar,kà-námà
56,LEOPARD (‘PANTHER’),1,1,1,2,3,4,4,4,4,1,4,2,6,7,1,8,4,3,3
57,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","u-no, u-nato umon",?,"tete, witu",?,à'úwà,"lə̀tə́, lə́və̀","gáɟìgà, kínànlá","*danogo, *kanon","rə́t, réwɛ́",?,"mo: ʃindiga:ne, le:ʧi",?,**rarah,?,?,hìnə́,?,nomo,và:kù
57,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",1,?,2,?,3,4,5,6,4,?,8,?,7,?,?,8,?,1,9
58,"LICK, TO",lele,?,lama,?,?,lɛ̀msɛ́,?,*rianga,?,?,?,?,**utentse,?,?,lálàhá,?,mu-mu,pèɗè
58,"LICK, TO",1,?,1,?,?,1,?,2,?,?,?,?,5,?,?,1,?,4,3
60,MEAT,fi-nawa,nam;  *-nam,*bi-nama,?,və̀nyámà,nə́mə́,ì-dágù,ku-nʌma;,ə́r-ʔàp,bɪ-nama,*u:-zúmbo: a,i-nama,*bɪ-nama;,ka-nama,e-nam,?,i-nama,e-nama,vù-ɲámà
60,MEAT,1,1,1,?,1,1,3,1,4,1,5,1,1,1,1,?,1,1,1
61,MOULD TO,uke nin na ʧara,**juwag,sakala,?,?,mǎ,?,*kabana,má,?,?,?,**pitire,?,?,?,?,su-wa,màʔà
61,MOULD TO,1,2,3,?,?,4,?,5,4,?,?,?,6,?,?,?,?,3,4
62,"MOUNT, TO",u-anu,*namgiʧe; **warki,*njana,?,?,sàkà,dídànà,**tuga:,da̍,?,?,?,**njanah,?,?,noná,?,tuwa,kùmbà
62,"MOUNT, TO",1,2,3,?,?,4,5,6,5,?,?,?,6,?,?,7,?,8,3
63,NAME,li-sa,sak,rì-ʤí,?,kùlà,dìnə́,nə̀-zóʔò,*ri-zene,ə̀r-ʤín,?,?,?,né-síjá,ri-ʤɛnne,rɪ-sak (rɪsak ?),r-inə,?,ri-zagij,kù-là
63,NAME,1,1,2,?,3,4,5,6,2,?,?,?,1,6,1,5,?,6,3
64,NIGHT: DAY OF 24 HOURS,ki-tik,"tuk, wəi","ə̀tìtìjə̀, òŋmè","lahare, ufin; ufin agoto",kááyì,"gjòpó, s- (ø(m)/s-)",ìŋhwúlà,"kɪ-tuk, lɪ-katta",?,"lie, suru-wəi (o-wəi = ‘sun’)","*á-gítã, *ɔ́:hõhõ",lahare,nə́-máré,"kɪ-tuk, ɪ-mɛŋme","kɪ-tuk, u-vie",a-kipɔ,"uuna, anungme",ka-tuk,"kã́j,ĩ̀"
64,NIGHT: DAY OF 24 HOURS,1,1,2,3,4,5,6,1,?,7,5,3,8,1,1,0,9,1,4
